,animal_id,days in shelter
0,A006100,0.5881944444444445
1,A006100,1.2597222222222222
2,A006100,1.113888888888889
3,A047759,4.970138888888889
4,A134067,0.1194444444444444
5,A141142,0.8708333333333333
6,A163459,0.1784722222222222
7,A165752,0.2131944444444444
8,A178569,6.258333333333334
9,A189592,0.0541666666666666
10,A191351,3.897222222222222
11,A197810,14.120138888888889
12,A200922,49.74791666666667
13,A208755,0.1305555555555555
14,A210457,9.020138888888887
15,A212672,10.886111111111113
16,A214991,0.0673611111111111
17,A215368,0.1111111111111111
18,A218622,0.0666666666666666
19,A218624,0.0680555555555555
20,A221327,0.9402777777777778
21,A221448,1.0555555555555556
22,A226069,23.104861111111116
23,A228887,0.0291666666666666
24,A230482,0.0701388888888888
25,A233812,0.1770833333333333
26,A234161,0.2006944444444444
27,A236259,4.199305555555555
28,A238870,7.84375
29,A243903,4.804861111111111
30,A245945,4.552083333333333
31,A245945,0.8965277777777778
32,A249087,89.85555555555557
33,A251095,0.05625
34,A251214,0.0388888888888888
35,A251268,2.042361111111111
36,A251402,0.7020833333333334
37,A253939,0.0680555555555555
38,A254503,4.018055555555556
39,A256412,0.1201388888888888
40,A258441,0.0881944444444444
41,A260631,3.814583333333333
42,A260914,0.8840277777777777
43,A261398,0.8465277777777778
44,A261770,0.0909722222222222
45,A267174,6.727083333333334
46,A268022,0.0451388888888888
47,A271790,6.709027777777778
48,A274546,2.755555555555556
49,A276644,5.841666666666668
50,A276780,0.3375
51,A279045,10.78125
52,A279920,9.055555555555555
53,A281542,146.96458333333334
54,A282897,5.071527777777778
55,A282897,37.138888888888886
56,A283735,0.2993055555555555
57,A284639,1.0083333333333333
58,A285685,0.8277777777777777
59,A287017,0.05
60,A287017,0.40625
61,A287217,0.2298611111111111
62,A290917,10.938194444444443
63,A291843,3.4722222222222223
64,A292482,1.9333333333333331
65,A293138,5.815277777777778
66,A293383,0.8104166666666667
67,A293634,0.0652777777777777
68,A294132,0.7527777777777779
69,A294728,0.1868055555555555
70,A295822,174.18958333333336
71,A297699,0.3243055555555555
72,A298074,0.8881944444444444
73,A298677,0.0520833333333333
74,A301824,51.17916666666667
75,A302820,147.8423611111111
76,A303591,7.938888888888889
77,A304036,0.2291666666666666
78,A304036,8.065972222222221
79,A305112,0.6645833333333333
80,A305674,3.1729166666666666
81,A306362,0.0791666666666666
82,A306965,0.7993055555555556
83,A307010,4.141666666666667
84,A307010,2.864583333333333
85,A307398,11.052083333333334
86,A307592,21.16180555555556
87,A308771,0.9138888888888888
88,A309706,0.2840277777777777
89,A309829,2.027083333333333
90,A310394,4.996527777777778
91,A310454,0.0979166666666666
92,A310938,0.8916666666666667
93,A311544,0.4583333333333333
94,A312005,30.13958333333333
95,A317783,0.10625
96,A318500,7.022222222222222
97,A318574,25.775694444444444
98,A318574,48.09791666666667
99,A318615,0.01875
100,A321263,2.2319444444444443
101,A321341,57.15
102,A321820,0.8763888888888889
103,A322813,0.0604166666666666
104,A322813,7.958333333333333
105,A323090,0.7416666666666667
106,A323668,0.2923611111111111
107,A325999,7.559722222222222
108,A326898,1.054861111111111
109,A328422,0.6083333333333333
110,A329257,3.4722222222222223
111,A329502,4.018055555555556
112,A329502,1.2083333333333333
113,A329835,2.075
114,A329871,10.029166666666669
