,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
66,A692146,Chihuahua Shorthair Mix,3.0215237517235507,1,Male,small,15,0.20143491678157005
67,A674702,Chihuahua Shorthair Mix,3.0018127225975437,0,Male,small,15,0.20012084817316958
68,A667094,Chihuahua Shorthair Mix,1.0041426054075184,0,Male,small,15,0.06694284036050123
69,A691436,Chihuahua Shorthair Mix,9.033786913260824,1,Female,small,15,0.6022524608840549
70,A689442,Chihuahua Shorthair Mix,5.006181205333139,0,Female,small,15,0.3337454136888759
71,A683317,Chihuahua Shorthair Mix,0.22055932398033878,1,Male,small,15,0.014703954932022586
72,A687160,Chihuahua Shorthair Mix,3.2845681674199714,0,Female,small,15,0.21897121116133142
73,A685078,Chihuahua Shorthair Mix,3.01863564009604,0,Male,small,15,0.20124237600640266
74,A586222,Chihuahua Shorthair Mix,3.9114671150749922,0,Male,small,15,0.26076447433833283
75,A681632,Chihuahua Shorthair Mix,5.091390955628414,1,Male,small,15,0.33942606370856093
76,A669467,Chihuahua Shorthair Mix,5.031535365012439,0,Male,small,15,0.33543569100082926
77,A681272,Chihuahua Shorthair Mix,3.0104979720474905,0,Male,small,15,0.20069986480316604
78,A670291,Chihuahua Shorthair Mix,1.43620714700203,0,Male,small,15,0.09574714313346866
79,A685399,Chihuahua Shorthair Mix,8.111663635955717,1,Male,small,15,0.5407775757303811
80,A682138,Chihuahua Shorthair Mix,3.007490076988424,0,Female,small,15,0.20049933846589493
81,A693669,Chihuahua Shorthair Mix,5.009419160633764,1,Male,small,15,0.3339612773755843
82,A671313,Chihuahua Shorthair Mix,0.13548266638679174,0,Male,small,15,0.009032177759119448
83,A692896,Chihuahua Shorthair Mix,0.5160422337366423,0,Male,small,15,0.03440281558244282
84,A677178,Chihuahua Shorthair Mix,2.0773508163906325,1,Female,small,15,0.13849005442604218
85,A687314,Chihuahua Shorthair Mix,2.0118368846268804,1,Female,small,15,0.13412245897512537
86,A682964,Chihuahua Shorthair Mix,3.0329830333423837,1,Female,small,15,0.20219886888949226
87,A680074,Chihuahua Shorthair Mix,1.0150752201923683,1,Female,small,15,0.06767168134615789
88,A675073,Chihuahua Shorthair Mix,0.3631301273963341,1,Male,small,15,0.024208675159755607
89,A688481,Chihuahua Shorthair Mix,0.18270015431148104,1,Male,small,15,0.01218001028743207
90,A647854,Chihuahua Shorthair Mix,0.9678501269704375,1,Male,small,15,0.06452334179802917
91,A676067,Chihuahua Shorthair Mix,3.004390918362458,0,Female,small,15,0.20029272789083052
92,A679109,Chihuahua Shorthair Mix,1.012407662184865,1,Male,small,15,0.06749384414565766
93,A527825,Chihuahua Shorthair Mix,7.040807363144578,0,Female,small,15,0.46938715754297183
94,A693199,Chihuahua Shorthair Mix,10.011586670347631,0,Female,small,15,0.6674391113565087
95,A676917,Chihuahua Shorthair Mix,0.2890355190197076,0,Female,small,15,0.01926903460131384
96,A657495,Chihuahua Shorthair Mix,2.941793618090873,0,Male,small,15,0.19611957453939152
97,A668280,Chihuahua Shorthair Mix,0.7685552140777094,0,Male,small,15,0.0512370142718473
98,A685433,Chihuahua Shorthair Mix,8.002018065623067,0,Female,small,15,0.5334678710415378
99,A676111,Chihuahua Shorthair Mix,2.030532606571129,0,Male,small,15,0.13536884043807526
100,A670249,Chihuahua Shorthair Mix,2.0195961891376584,0,Female,small,15,0.13463974594251055
101,A669996,Chihuahua Shorthair Mix,0.22070382462792984,1,Male,small,15,0.014713588308528655
102,A681642,Chihuahua Shorthair Mix,2.0115897124665274,1,Female,small,15,0.13410598083110184
103,A625175,Chihuahua Shorthair Mix,3.0928652424987053,0,Male,small,15,0.20619101616658037
104,A672843,Chihuahua Shorthair Mix,2.0687625344805163,0,Female,small,15,0.1379175022987011
105,A678530,Chihuahua Shorthair Mix,1.0069261441979567,0,Male,small,15,0.06712840961319712
106,A687266,Chihuahua Shorthair Mix,1.008992883723371,1,Female,small,15,0.06726619224822473
107,A686179,Chihuahua Shorthair Mix,2.0493937437303833,0,Female,small,15,0.13662624958202554
108,A672177,Chihuahua Shorthair Mix,0.9356283838819415,1,Male,small,15,0.06237522559212943
109,A681025,Chihuahua Shorthair Mix,1.0258329131406607,1,Female,small,15,0.06838886087604405
110,A665916,Chihuahua Shorthair Mix,2.0278384300232797,0,Male,small,15,0.13518922866821864
111,A680946,Chihuahua Shorthair Mix,2.2089509785355697,1,Male,small,15,0.14726339856903797
112,A672150,Chihuahua Shorthair Mix,0.5276802398406538,0,Female,small,15,0.03517868265604359
113,A678516,Chihuahua Shorthair Mix,6.019486292592516,0,Female,small,15,0.4012990861728344
114,A669415,Chihuahua Shorthair Mix,1.5265713875028235,1,Male,small,15,0.10177142583352157
115,A688226,Chihuahua Shorthair Mix,1.0124513926440044,1,Female,small,15,0.0674967595096003
116,A677004,Chihuahua Shorthair Mix,10.04173406861347,1,Female,small,15,0.6694489379075647
117,A664804,Chihuahua Shorthair Mix,2.0142743823928244,0,Female,small,15,0.1342849588261883
